Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
JP28,JP28-2011-0119_resampled,0,3,2,1,2,1
JP28,JP28-2011-0119_resampled,1,3,2,2,2,2
JP28,JP28-2011-0119_resampled,0,3,1,2,1,3
JP28,JP28-2011-0119_resampled,1,3,1,1,1,4
JP28,JP28-2011-0119_resampled,1,3,2,2,2,5
JP28,JP28-2011-0119_resampled,1,3,1,1,1,6
JP28,JP28-2011-0119_resampled,1,3,2,2,2,7
JP28,JP28-2011-0119_resampled,1,3,2,2,2,8
JP28,JP28-2011-0119_resampled,1,3,2,2,2,9
JP28,JP28-2011-0119_resampled,0,3,2,1,2,10
JP28,JP28-2011-0119_resampled,1,3,2,2,2,11
JP28,JP28-2011-0119_resampled,0,3,2,1,2,12
JP28,JP28-2011-0119_resampled,1,3,2,2,2,13
JP28,JP28-2011-0119_resampled,1,3,1,1,1,14
JP28,JP28-2011-0119_resampled,1,3,2,2,2,15
JP28,JP28-2011-0119_resampled,1,3,2,2,2,16
JP28,JP28-2011-0119_resampled,0,3,2,1,2,17
JP28,JP28-2011-0119_resampled,1,3,2,2,2,18
JP28,JP28-2011-0119_resampled,1,3,2,2,2,19
JP28,JP28-2011-0119_resampled,0,3,2,1,2,20
JP28,JP28-2011-0119_resampled,1,3,2,2,2,21
JP28,JP28-2011-0119_resampled,1,3,1,1,1,22
JP28,JP28-2011-0119_resampled,1,3,2,2,2,23
JP28,JP28-2011-0119_resampled,0,3,1,2,1,24
JP28,JP28-2011-0119_resampled,0,3,1,2,1,25
JP28,JP28-2011-0119_resampled,1,3,1,1,1,26
JP28,JP28-2011-0119_resampled,1,3,2,2,2,27
JP28,JP28-2011-0119_resampled,1,3,2,2,2,28
JP28,JP28-2011-0119_resampled,1,3,2,2,2,29
JP28,JP28-2011-0119_resampled,1,3,1,1,1,30
JP28,JP28-2011-0119_resampled,0,3,1,2,1,31
JP28,JP28-2011-0119_resampled,1,3,1,1,1,32
JP28,JP28-2011-0119_resampled,1,3,1,1,1,33
JP28,JP28-2011-0119_resampled,0,3,2,1,2,34
JP28,JP28-2011-0119_resampled,1,3,2,2,2,35
JP28,JP28-2011-0119_resampled,1,3,2,2,2,36
JP28,JP28-2011-0119_resampled,1,3,1,1,1,37
JP28,JP28-2011-0119_resampled,0,3,1,2,1,38
JP28,JP28-2011-0119_resampled,1,3,1,1,1,39
JP28,JP28-2011-0119_resampled,1,3,1,1,1,40
JP28,JP28-2011-0119_resampled,1,3,2,2,2,41
JP28,JP28-2011-0119_resampled,0,3,1,2,1,42
