Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC11,SC11-0924-0119_resampled,0,3,1,2,1,1
SC11,SC11-0924-0119_resampled,0,3,1,2,1,2
SC11,SC11-0924-0119_resampled,0,3,1,2,1,3
SC11,SC11-0924-0119_resampled,0,3,1,2,1,4
SC11,SC11-0924-0119_resampled,0,3,1,2,1,5
SC11,SC11-0924-0119_resampled,0,3,1,2,1,6
SC11,SC11-0924-0119_resampled,0,3,1,2,1,7
SC11,SC11-0924-0119_resampled,0,3,1,2,1,8
SC11,SC11-0924-0119_resampled,0,3,1,2,1,9
SC11,SC11-0924-0119_resampled,1,3,1,1,1,10
SC11,SC11-0924-0119_resampled,0,3,1,2,1,11
SC11,SC11-0924-0119_resampled,1,3,1,1,1,12
SC11,SC11-0924-0119_resampled,1,3,1,1,1,13
SC11,SC11-0924-0119_resampled,0,3,2,1,2,14
SC11,SC11-0924-0119_resampled,1,3,2,2,2,15
SC11,SC11-0924-0119_resampled,1,3,1,1,1,16
SC11,SC11-0924-0119_resampled,1,3,1,1,1,17
SC11,SC11-0924-0119_resampled,0,3,2,1,2,18
SC11,SC11-0924-0119_resampled,0,3,2,1,2,19
SC11,SC11-0924-0119_resampled,1,3,2,2,2,20
SC11,SC11-0924-0119_resampled,1,3,1,1,1,21
SC11,SC11-0924-0119_resampled,0,3,1,2,1,22
SC11,SC11-0924-0119_resampled,0,3,1,2,1,23
SC11,SC11-0924-0119_resampled,1,3,1,1,1,24
SC11,SC11-0924-0119_resampled,0,3,2,1,2,25
SC11,SC11-0924-0119_resampled,0,3,2,1,2,26
SC11,SC11-0924-0119_resampled,1,3,2,2,2,27
SC11,SC11-0924-0119_resampled,1,3,1,1,1,28
SC11,SC11-0924-0119_resampled,1,3,1,1,1,29
SC11,SC11-0924-0119_resampled,0,3,2,1,2,30
SC11,SC11-0924-0119_resampled,1,3,2,2,2,31
SC11,SC11-0924-0119_resampled,1,3,1,1,1,32
SC11,SC11-0924-0119_resampled,0,3,1,2,1,33
SC11,SC11-0924-0119_resampled,0,3,1,2,1,34
SC11,SC11-0924-0119_resampled,1,3,1,1,1,35
SC11,SC11-0924-0119_resampled,1,3,1,1,1,36
SC11,SC11-0924-0119_resampled,0,3,2,1,2,37
SC11,SC11-0924-0119_resampled,1,3,2,2,2,38
SC11,SC11-0924-0119_resampled,1,3,1,1,1,39
SC11,SC11-0924-0119_resampled,1,3,1,1,1,40
SC11,SC11-0924-0119_resampled,1,3,1,1,1,41
SC11,SC11-0924-0119_resampled,0,3,2,1,2,42
SC11,SC11-0924-0119_resampled,1,3,2,2,2,43
SC11,SC11-0924-0119_resampled,1,3,1,1,1,44
SC11,SC11-0924-0119_resampled,1,3,2,2,2,45
SC11,SC11-0924-0119_resampled,1,3,1,1,1,46
SC11,SC11-0924-0119_resampled,1,3,2,2,2,47
SC11,SC11-0924-0119_resampled,1,3,1,1,1,48
SC11,SC11-0924-0119_resampled,1,3,2,2,2,49
SC11,SC11-0924-0119_resampled,1,1,1,1,1,50
SC11,SC11-0924-0119_resampled,0,1,1,2,2,51
SC11,SC11-0924-0119_resampled,0,1,1,2,2,52
SC11,SC11-0924-0119_resampled,1,1,1,1,2,53
SC11,SC11-0924-0119_resampled,1,1,1,1,1,54
SC11,SC11-0924-0119_resampled,1,1,1,1,1,55
SC11,SC11-0924-0119_resampled,0,1,1,2,2,56
SC11,SC11-0924-0119_resampled,1,1,1,1,2,57
SC11,SC11-0924-0119_resampled,0,1,1,2,2,58
SC11,SC11-0924-0119_resampled,1,1,1,1,2,59
SC11,SC11-0924-0119_resampled,0,1,1,2,2,60
SC11,SC11-0924-0119_resampled,0,1,1,2,2,61
SC11,SC11-0924-0119_resampled,1,1,1,1,2,62
SC11,SC11-0924-0119_resampled,1,1,1,1,1,63
SC11,SC11-0924-0119_resampled,1,1,1,1,2,64
SC11,SC11-0924-0119_resampled,1,1,1,1,1,65
SC11,SC11-0924-0119_resampled,1,1,1,1,1,66
SC11,SC11-0924-0119_resampled,1,1,1,1,1,67
SC11,SC11-0924-0119_resampled,1,1,1,1,2,68
SC11,SC11-0924-0119_resampled,1,1,1,1,1,69
SC11,SC11-0924-0119_resampled,0,1,1,2,2,70
SC11,SC11-0924-0119_resampled,1,1,1,1,2,71
SC11,SC11-0924-0119_resampled,1,1,1,1,1,72
