Animal,Day,trial duration,Correct,Strategy,Trial,Correct arm,Reward zone,Start zone,Start time,End time,Learning stage,Trajectory
HM02,HM02-0419-0108.mat,5.7572721203992,1,1,1,1,1,1,54340,64340,3,4
HM02,HM02-0419-0108.mat,2.83443911071961,1,1,2,1,1,1,106340,113400,3,4
HM02,HM02-0419-0108.mat,7.54152510385281,1,1,3,1,1,2,149960,159520,3,1
HM02,HM02-0419-0108.mat,4.58356727460186,1,1,4,1,1,1,197640,204700,3,4
HM02,HM02-0419-0108.mat,4.55237601325312,1,1,5,1,1,1,243780,250700,3,4
HM02,HM02-0419-0108.mat,2.50209771073363,1,1,6,1,1,1,278640,285400,3,4
HM02,HM02-0419-0108.mat,7.51324933283951,1,1,7,1,1,2,328040,336620,3,1
HM02,HM02-0419-0108.mat,2.30876502137116,1,1,8,1,1,2,367200,374580,3,1
HM02,HM02-0419-0108.mat,2.25089470275573,1,1,9,1,1,1,402440,409200,3,4
HM02,HM02-0419-0108.mat,1.95225002852824,1,1,10,1,1,1,447280,453980,3,4
HM02,HM02-0419-0108.mat,4.17216437172801,1,1,11,1,1,2,477620,484700,3,1
HM02,HM02-0419-0108.mat,4.82857893314381,1,1,12,1,1,1,512660,521900,3,4
HM02,HM02-0419-0108.mat,7.93311557742165,1,1,13,1,1,1,620320,628220,3,4
HM02,HM02-0419-0108.mat,4.70008165784126,1,1,14,1,1,2,659880,666780,3,1
HM02,HM02-0419-0108.mat,3.32002291969049,1,1,15,1,1,2,696180,702880,3,1
HM02,HM02-0419-0108.mat,4.56961670854146,0,2,1,2,1,2,757040,758980,1,1
HM02,HM02-0419-0108.mat,4.2672669032342,0,2,2,2,1,2,784160,785600,1,1
HM02,HM02-0419-0108.mat,5.26939664668021,0,2,3,2,1,2,809000,811420,1,1
HM02,HM02-0419-0108.mat,11.3991369095404,1,2,4,2,2,2,839060,853000,1,2
HM02,HM02-0419-0108.mat,6.80199731133822,1,2,5,2,2,2,892900,902840,1,2
