Trial,Correct,Strategy,Start zone
1,0,3,2
2,1,3,2
3,0,3,1
4,1,3,1
5,1,3,2
6,1,3,1
7,1,3,2
8,1,3,2
9,1,3,2
10,0,3,2
11,1,3,2
12,0,3,2
13,1,3,2
14,1,3,1
15,1,3,2
16,1,3,2
17,0,3,2
18,1,3,2
19,1,3,2
20,0,3,2
21,1,3,2
22,1,3,1
23,1,3,2
24,0,3,1
25,0,3,1
26,1,3,1
27,1,3,2
28,1,3,2
29,1,3,2
30,1,3,1
31,0,3,1
32,1,3,1
33,1,3,1
34,0,3,2
35,1,3,2
36,1,3,2
37,1,3,1
38,0,3,1
39,1,3,1
40,1,3,1
41,1,3,2
42,0,3,1
43,1,3,1
44,1,3,2
45,1,3,1
46,1,3,2
47,1,3,1
48,1,3,2
49,0,3,2
50,1,3,2
51,0,3,1
52,1,3,1
53,0,3,1
54,1,3,1
55,1,3,2
56,1,3,1
57,1,3,1
58,1,3,2
59,1,3,2
60,1,3,2
61,1,3,2
62,1,3,1
63,1,3,1
64,0,3,1
65,1,3,1
66,1,3,2
67,0,1,2
68,0,1,2
69,0,1,2
70,0,1,2
71,1,1,2
72,1,1,1
73,0,1,2
74,0,1,2
75,1,1,2
76,1,1,2
77,0,1,2
78,1,1,2
79,0,1,2
80,1,1,2
81,1,1,1
82,1,1,2
83,1,1,1
84,1,1,2
85,1,1,1
86,1,1,2
87,1,1,1
88,1,1,1
89,1,1,2
90,0,3,2
91,1,3,2
92,0,3,1
93,1,3,1
94,1,3,2
95,1,3,1
96,1,3,2
97,1,3,2
98,1,3,2
99,0,3,2
100,1,3,2
101,0,3,2
102,1,3,2
103,1,3,1
104,1,3,2
105,1,3,2
106,0,3,2
107,1,3,2
108,1,3,2
109,0,3,2
110,1,3,2
111,1,3,1
112,1,3,2
113,0,3,1
114,0,3,1
115,1,3,1
116,1,3,2
117,1,3,2
118,1,3,2
119,1,3,1
120,0,3,1
121,1,3,1
122,1,3,1
123,0,3,2
124,1,3,2
125,1,3,2
126,1,3,1
127,0,3,1
128,1,3,1
129,1,3,1
130,1,3,2
131,0,3,1
132,1,3,1
133,1,3,2
134,1,3,1
135,1,3,2
136,1,3,1
137,1,3,2
138,0,3,2
139,1,3,2
140,0,3,1
141,1,3,1
142,0,3,1
143,1,3,1
144,1,3,2
145,1,3,1
146,1,3,1
147,1,3,2
148,1,3,2
149,1,3,2
150,1,3,2
151,1,3,1
152,1,3,1
153,0,3,1
154,1,3,1
155,1,3,2
156,0,1,2
157,0,1,2
158,0,1,2
159,0,1,2
160,1,1,2
161,1,1,1
162,0,1,2
163,0,1,2
164,1,1,2
165,1,1,2
166,0,1,2
167,1,1,2
168,0,1,2
169,1,1,2
170,1,1,1
171,1,1,2
172,1,1,1
173,1,1,2
174,1,1,1
175,1,1,2
176,1,1,1
177,1,1,1
178,1,1,2
179,0,4,1
180,1,4,1
181,0,4,2
182,1,4,2
183,1,4,1
184,1,4,2
185,0,4,1
186,1,4,1
187,0,4,2
188,0,4,2
189,0,4,2
190,1,4,2
191,0,4,1
192,1,4,1
193,0,4,1
194,1,4,1
195,0,4,2
196,1,4,2
197,0,4,2
198,1,4,2
199,0,4,1
200,1,4,1
201,1,4,2
202,0,4,2
203,0,4,2
204,0,4,2
205,1,4,2
206,0,4,1
207,1,4,1
208,1,4,2
209,1,4,2
210,0,4,2
211,1,4,2
212,1,4,2
213,1,4,1
214,0,4,1
215,0,4,1
216,0,4,1
217,1,4,1
218,0,4,1
219,0,4,1
220,1,4,1
221,0,4,2
222,1,4,2
223,1,4,2
224,0,4,1
225,1,4,1
226,1,4,1
227,1,4,2
228,1,4,1
229,1,4,1
230,0,4,1
231,1,4,1
232,1,4,2
233,0,4,2
234,1,4,2
235,1,4,1
236,0,4,1
237,0,4,1
238,1,4,1
239,0,4,2
240,1,4,2
241,1,4,1
242,0,4,2
243,1,4,2
244,1,4,1
245,1,4,2
246,1,4,1
247,0,4,1
248,1,4,1
249,1,4,2
250,0,4,2
251,1,4,2
252,1,4,1
253,1,4,1
254,0,4,1
255,1,4,1
256,1,4,2
257,0,4,2
258,0,4,2
259,1,4,2
260,0,4,1
261,0,4,1
262,1,4,1
263,1,4,2
264,1,4,2
265,1,4,1
266,1,4,2
267,0,4,2
268,1,4,2
269,1,4,2
270,0,4,2
271,1,4,2
272,0,4,1
273,1,4,1
274,0,4,1
275,1,4,1
276,1,4,2
277,0,4,2
278,1,4,2
279,1,4,2
280,0,4,1
281,1,4,1
282,1,4,2
283,1,4,2
284,1,4,2
285,0,4,1
286,1,4,1
287,1,4,2
288,1,4,1
289,1,4,2
290,1,4,2
291,1,4,2
292,0,4,1
293,1,4,1
294,1,4,2
295,1,4,1
296,0,2,1
297,1,2,1
298,0,2,1
299,1,2,1
300,0,2,2
301,0,2,2
302,1,2,2
303,0,2,1
304,1,2,1
305,0,2,2
306,1,2,2
307,1,2,1
308,1,2,1
309,0,2,2
310,1,2,2
311,0,2,2
312,1,2,2
313,1,2,2
314,0,2,2
315,1,2,2
316,1,2,1
317,1,2,1
318,0,2,1
319,1,2,1
320,1,2,2
321,1,2,1
322,1,2,2
323,1,2,2
324,1,2,1
325,1,2,1
326,1,2,1
327,0,3,1
328,1,3,1
329,1,3,1
330,0,3,1
331,1,3,1
332,1,3,2
333,1,3,1
334,1,3,2
335,0,3,2
336,0,3,2
337,0,3,2
338,1,3,2
339,1,3,1
340,0,3,1
341,1,3,1
342,0,3,2
343,1,3,2
344,0,3,2
345,1,3,2
346,0,3,2
347,0,3,2
348,1,3,2
349,0,3,1
350,1,3,1
351,0,3,1
352,1,3,1
353,0,3,2
354,0,3,2
355,1,3,2
356,1,3,1
357,1,3,2
358,0,3,2
359,0,3,2
360,1,3,2
361,0,3,2
362,1,3,2
363,1,3,1
364,0,3,1
365,0,3,1
366,1,3,1
367,1,3,2
368,0,3,2
369,0,3,2
370,1,3,2
371,1,3,1
372,1,3,1
373,1,3,2
374,1,3,1
375,0,3,2
376,1,3,2
377,0,3,2
378,0,3,2
379,1,3,2
380,0,3,2
381,0,3,2
382,1,3,2
383,0,3,1
384,1,3,1
385,0,3,2
386,1,3,2
387,0,3,2
388,0,3,2
389,1,3,2
390,0,3,1
391,1,3,1
392,1,3,1
393,0,3,1
394,0,3,1
395,0,3,1
396,1,3,1
397,0,3,2
398,1,3,2
