Trial,Correct,Strategy,Start zone
1,0,3,2
2,1,3,2
3,0,3,1
4,0,3,1
5,1,3,1
6,0,3,2
7,0,3,2
8,0,3,2
9,0,3,2
10,1,3,2
11,0,3,2
12,0,3,2
13,0,3,2
14,0,3,2
15,1,3,2
16,1,3,2
17,0,3,1
18,1,3,1
19,0,3,2
20,1,3,2
21,0,3,2
22,1,3,2
23,1,3,1
24,0,3,2
25,0,3,2
26,0,3,2
27,1,3,2
28,0,3,2
29,0,3,2
30,0,3,2
31,1,3,2
32,1,3,1
33,0,3,1
34,0,3,1
35,1,3,1
36,1,3,1
37,1,3,2
38,1,3,1
39,1,3,2
40,1,3,1
41,0,3,2
42,1,3,2
43,0,3,2
44,1,3,2
45,0,3,2
46,1,3,2
47,1,3,1
48,0,3,2
49,1,3,2
50,1,3,1
51,0,3,1
52,0,3,1
53,1,3,1
54,0,3,2
55,0,3,2
56,1,3,2
57,0,3,2
58,1,3,2
59,1,3,1
60,0,3,1
61,0,3,1
62,1,3,1
63,0,3,1
64,1,3,1
65,1,3,2
66,0,3,2
67,0,3,2
68,0,3,2
69,0,3,2
70,1,3,2
71,1,3,1
72,1,3,2
73,0,3,2
74,1,3,2
75,0,3,2
76,1,3,2
77,0,3,1
78,1,3,1
79,0,3,2
80,1,3,2
81,0,3,2
82,1,3,2
83,0,3,1
84,0,3,1
85,1,3,1
86,0,3,1
87,1,3,1
88,1,3,1
89,1,3,2
90,0,3,1
91,1,3,1
92,1,3,1
93,1,3,2
94,0,3,2
95,0,3,2
96,1,3,2
97,1,3,1
98,1,3,2
99,1,3,1
100,1,3,1
101,0,3,1
102,1,3,1
103,1,3,2
104,1,3,1
105,1,3,1
106,1,3,1
107,1,3,2
108,1,3,2
109,1,3,1
110,1,1,2
111,1,1,1
112,0,1,2
113,1,1,2
114,1,1,1
115,1,1,1
116,1,1,1
117,1,1,2
118,1,1,2
119,1,1,2
120,1,1,2
121,1,1,1
122,1,1,2
123,1,1,2
124,1,1,1
125,0,3,2
126,1,3,2
127,0,3,1
128,0,3,1
129,1,3,1
130,0,3,2
131,0,3,2
132,0,3,2
133,0,3,2
134,1,3,2
135,0,3,2
136,0,3,2
137,0,3,2
138,0,3,2
139,1,3,2
140,1,3,2
141,0,3,1
142,1,3,1
143,0,3,2
144,1,3,2
145,0,3,2
146,1,3,2
147,1,3,1
148,0,3,2
149,0,3,2
150,0,3,2
151,1,3,2
152,0,3,2
153,0,3,2
154,0,3,2
155,1,3,2
156,1,3,1
157,0,3,1
158,0,3,1
159,1,3,1
160,1,3,1
161,1,3,2
162,1,3,1
163,1,3,2
164,1,3,1
165,0,3,2
166,1,3,2
167,0,3,2
168,1,3,2
169,0,3,2
170,1,3,2
171,1,3,1
172,0,3,2
173,1,3,2
174,1,3,1
175,0,3,1
176,0,3,1
177,1,3,1
178,0,3,2
179,0,3,2
180,1,3,2
181,0,3,2
182,1,3,2
183,1,3,1
184,0,3,1
185,0,3,1
186,1,3,1
187,0,3,1
188,1,3,1
189,1,3,2
190,0,3,2
191,0,3,2
192,0,3,2
193,0,3,2
194,1,3,2
195,1,3,1
196,1,3,2
197,0,3,2
198,1,3,2
199,0,3,2
200,1,3,2
201,0,3,1
202,1,3,1
203,0,3,2
204,1,3,2
205,0,3,2
206,1,3,2
207,0,3,1
208,0,3,1
209,1,3,1
210,0,3,1
211,1,3,1
212,1,3,1
213,1,3,2
214,0,3,1
215,1,3,1
216,1,3,1
217,1,3,2
218,0,3,2
219,0,3,2
220,1,3,2
221,1,3,1
222,1,3,2
223,1,3,1
224,1,3,1
225,0,3,1
226,1,3,1
227,1,3,2
228,1,3,1
229,1,3,1
230,1,3,1
231,1,3,2
232,1,3,2
233,1,3,1
234,1,1,2
235,1,1,1
236,0,1,2
237,1,1,2
238,1,1,1
239,1,1,1
240,1,1,1
241,1,1,2
242,1,1,2
243,1,1,2
244,1,1,2
245,1,1,1
246,1,1,2
247,1,1,2
248,1,1,1
249,0,3,2
250,1,3,2
251,0,3,1
252,0,3,1
253,1,3,1
254,0,3,2
255,0,3,2
256,0,3,2
257,0,3,2
258,1,3,2
259,0,3,2
260,0,3,2
261,0,3,2
262,0,3,2
263,1,3,2
264,1,3,2
265,0,3,1
266,1,3,1
267,0,3,2
268,1,3,2
269,0,3,2
270,1,3,2
271,1,3,1
272,0,3,2
273,0,3,2
274,0,3,2
275,1,3,2
276,0,3,2
277,0,3,2
278,0,3,2
279,1,3,2
280,1,3,1
281,0,3,1
282,0,3,1
283,1,3,1
284,1,3,1
285,1,3,2
286,1,3,1
287,1,3,2
288,1,3,1
289,0,3,2
290,1,3,2
291,0,3,2
292,1,3,2
293,0,3,2
294,1,3,2
295,1,3,1
296,0,3,2
297,1,3,2
298,1,3,1
299,0,3,1
300,0,3,1
301,1,3,1
302,0,3,2
303,0,3,2
304,1,3,2
305,0,3,2
306,1,3,2
307,1,3,1
308,0,3,1
309,0,3,1
310,1,3,1
311,0,3,1
312,1,3,1
313,1,3,2
314,0,3,2
315,0,3,2
316,0,3,2
317,0,3,2
318,1,3,2
319,1,3,1
320,1,3,2
321,0,3,2
322,1,3,2
323,0,3,2
324,1,3,2
325,0,3,1
326,1,3,1
327,0,3,2
328,1,3,2
329,0,3,2
330,1,3,2
331,0,3,1
332,0,3,1
333,1,3,1
334,0,3,1
335,1,3,1
336,1,3,1
337,1,3,2
338,0,3,1
339,1,3,1
340,1,3,1
341,1,3,2
342,0,3,2
343,0,3,2
344,1,3,2
345,1,3,1
346,1,3,2
347,1,3,1
348,1,3,1
349,0,3,1
350,1,3,1
351,1,3,2
352,1,3,1
353,1,3,1
354,1,3,1
355,1,3,2
356,1,3,2
357,1,3,1
358,1,1,2
359,1,1,1
360,0,1,2
361,1,1,2
362,1,1,1
363,1,1,1
364,1,1,1
365,1,1,2
366,1,1,2
367,1,1,2
368,1,1,2
369,1,1,1
370,1,1,2
371,1,1,2
372,1,1,1
373,0,3,2
374,1,3,2
375,0,3,1
376,0,3,1
377,1,3,1
378,0,3,2
379,0,3,2
380,0,3,2
381,0,3,2
382,1,3,2
383,0,3,2
384,0,3,2
385,0,3,2
386,0,3,2
387,1,3,2
388,1,3,2
389,0,3,1
390,1,3,1
391,0,3,2
392,1,3,2
393,0,3,2
394,1,3,2
395,1,3,1
396,0,3,2
397,0,3,2
398,0,3,2
