Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,0,1,1,2,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,1,1,1,1,2
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,1,1,1,1,1
SC03,SC03-0419-0120_resampled,0,2,2,1,2
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,0,2,2,1,1
SC03,SC03-0419-0120_resampled,0,2,2,1,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,0,2,2,1,1
SC03,SC03-0419-0120_resampled,0,2,2,1,1
SC03,SC03-0419-0120_resampled,0,2,2,1,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,0,2,2,1,2
SC03,SC03-0419-0120_resampled,0,2,2,1,2
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,0,2,2,1,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,0,2,2,1,2
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,0,2,2,1,2
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,1,2,2,2,1
SC03,SC03-0419-0120_resampled,1,2,2,2,2
SC03,SC03-0419-0120_resampled,0,4,1,2,2
SC03,SC03-0419-0120_resampled,0,4,1,2,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,0,4,2,1,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,0,4,1,2,2
SC03,SC03-0419-0120_resampled,0,4,1,2,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,0,4,2,1,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,0,4,2,1,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,0,4,1,2,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,0,4,2,1,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,0,4,2,1,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,0,4,1,2,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,0,4,1,2,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,0,4,2,1,1
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,1,1,2
SC03,SC03-0419-0120_resampled,1,4,2,2,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,1,3,1,1,1
SC03,SC03-0419-0120_resampled,0,3,2,1,2
SC03,SC03-0419-0120_resampled,1,3,2,2,2
