Correct,Strategy,Start zone,Trial
1,1,1,1
1,1,1,2
1,1,2,3
1,1,1,4
1,1,1,5
1,1,1,6
1,1,2,7
1,1,2,8
1,1,1,9
1,1,1,10
1,1,2,11
1,1,1,12
1,1,1,13
1,1,2,14
1,1,2,15
0,2,2,16
0,2,2,17
0,2,2,18
1,2,2,19
1,2,2,20
0,2,1,21
0,2,1,22
0,2,1,23
0,2,1,24
1,2,1,25
1,2,2,26
1,2,2,27
1,2,2,28
1,2,1,29
1,2,1,30
1,2,1,31
1,2,2,32
1,2,1,33
1,2,2,34
1,2,1,35
1,2,2,36
1,2,2,37
1,3,2,38
0,3,1,39
0,3,1,40
0,3,1,41
0,3,1,42
0,3,1,43
0,3,1,44
0,3,1,45
1,3,1,46
1,3,1,47
1,3,2,48
0,3,1,49
1,3,1,50
1,3,2,51
1,3,2,52
1,3,2,53
1,3,1,54
1,3,2,55
1,3,1,56
1,3,2,57
1,3,2,58
1,3,2,59
0,4,1,60
1,4,1,61
0,4,2,62
1,4,2,63
0,4,1,64
1,4,1,65
0,4,2,66
0,4,2,67
1,4,2,68
0,4,2,69
1,4,2,70
0,4,1,71
1,4,1,72
0,4,1,73
1,4,1,74
1,4,1,75
1,4,2,76
0,4,1,77
1,4,1,78
1,4,1,79
0,4,2,80
0,4,2,81
1,4,2,82
1,4,1,83
0,4,1,84
1,4,1,85
1,4,1,86
0,4,2,87
1,4,2,88
1,4,1,89
0,4,1,90
1,4,1,91
1,4,1,92
1,4,1,93
1,4,1,94
0,4,1,95
1,4,1,96
1,1,1,97
1,1,1,98
1,1,2,99
1,1,1,100
1,1,1,101
1,1,1,102
1,1,2,103
1,1,2,104
1,1,1,105
1,1,1,106
1,1,2,107
1,1,1,108
1,1,1,109
1,1,2,110
1,1,2,111
0,2,2,112
0,2,2,113
1,2,2,114
0,2,2,115
1,2,2,116
0,2,1,117
1,2,1,118
1,2,2,119
1,2,2,120
1,2,2,121
1,2,1,122
1,2,1,123
1,2,1,124
1,2,2,125
1,2,1,126
1,2,2,127
1,2,1,128
1,3,2,129
1,3,2,130
1,3,2,131
0,3,1,132
0,3,1,133
0,3,1,134
1,3,1,135
1,3,1,136
1,3,2,137
1,3,1,138
1,3,2,139
1,3,2,140
1,3,2,141
1,3,1,142
1,3,2,143
1,3,1,144
1,3,2,145
1,3,2,146
1,3,2,147
0,4,1,148
1,4,1,149
0,4,2,150
0,4,2,151
1,4,2,152
0,4,1,153
1,4,1,154
0,4,2,155
1,4,2,156
0,4,2,157
1,4,2,158
0,4,1,159
1,1,1,160
1,1,1,161
1,1,2,162
1,1,1,163
1,1,1,164
1,1,1,165
1,1,2,166
1,1,2,167
1,1,1,168
1,1,1,169
1,1,2,170
1,1,1,171
1,1,1,172
1,1,2,173
1,1,2,174
1,1,2,175
1,1,2,176
1,1,1,177
1,1,2,178
1,1,2,179
1,1,2,180
1,1,1,181
1,1,1,182
1,1,1,183
0,2,2,184
0,2,2,185
0,2,2,186
0,2,2,187
1,2,2,188
0,2,1,189
1,2,1,190
1,2,2,191
1,2,1,192
0,2,2,193
1,2,2,194
1,2,2,195
1,2,2,196
1,2,1,197
1,2,1,198
1,2,2,199
1,2,1,200
1,2,2,201
1,2,2,202
1,2,2,203
1,2,1,204
1,2,2,205
1,2,1,206
1,2,2,207
1,2,2,208
1,2,2,209
1,2,1,210
1,2,2,211
0,3,1,212
0,3,1,213
1,3,1,214
1,3,2,215
0,3,2,216
1,3,2,217
0,3,1,218
1,3,1,219
1,3,1,220
1,3,1,221
1,3,2,222
1,3,1,223
1,3,1,224
1,3,2,225
1,3,1,226
1,3,1,227
1,3,1,228
1,3,2,229
1,3,1,230
1,3,1,231
1,3,1,232
1,3,2,233
1,3,1,234
1,3,1,235
1,3,1,236
1,3,2,237
0,4,2,238
1,4,2,239
1,4,2,240
0,4,2,241
1,4,2,242
0,4,1,243
1,4,1,244
1,4,2,245
0,4,2,246
1,4,2,247
0,4,1,248
1,4,1,249
1,4,2,250
0,4,1,251
1,4,1,252
1,4,2,253
0,4,1,254
1,4,1,255
0,4,2,256
1,4,2,257
1,4,2,258
0,4,1,259
1,4,1,260
0,4,1,261
1,4,1,262
0,4,1,263
1,4,1,264
1,4,2,265
0,4,1,266
1,4,1,267
1,3,1,268
0,3,1,269
1,3,1,270
0,3,2,271
1,3,2,272
1,3,1,273
1,3,1,274
1,3,1,275
1,3,2,276
0,3,2,277
1,3,2,278
0,3,1,279
1,3,1,280
1,3,1,281
1,3,2,282
1,3,1,283
1,3,1,284
1,3,2,285
0,3,2,286
1,3,2,287
1,3,2,288
1,3,2,289
1,3,1,290
1,3,2,291
1,3,2,292
1,3,2,293
1,3,1,294
1,3,1,295
0,3,1,296
1,3,1,297
1,3,2,298
1,3,1,299
1,3,2,300
1,3,1,301
0,4,2,302
0,4,2,303
1,4,2,304
1,4,2,305
1,4,2,306
0,4,1,307
0,4,1,308
1,4,1,309
0,4,1,310
1,4,1,311
0,4,2,312
1,4,2,313
0,4,1,314
1,4,1,315
0,4,2,316
1,4,2,317
1,4,2,318
1,4,2,319
0,4,1,320
0,4,1,321
1,4,1,322
1,4,2,323
0,4,1,324
1,4,1,325
1,4,2,326
1,4,2,327
0,4,2,328
1,4,2,329
0,4,1,330
1,4,1,331
1,4,2,332
0,4,1,333
1,4,1,334
1,4,2,335
1,4,2,336
0,4,1,337
1,4,1,338
0,4,1,339
1,4,1,340
0,4,1,341
1,4,1,342
1,4,2,343
1,4,1,344
0,4,1,345
1,4,1,346
1,4,2,347
1,4,1,348
0,4,1,349
1,4,1,350
1,4,1,351
1,4,2,352
1,4,1,353
0,4,1,354
1,4,1,355
0,4,1,356
1,4,1,357
1,4,2,358
1,4,1,359
0,4,1,360
1,4,1,361
0,4,1,362
1,4,1,363
1,4,2,364
1,4,2,365
0,4,2,366
1,4,2,367
1,4,2,368
0,4,1,369
1,4,1,370
1,4,2,371
1,4,2,372
1,4,1,373
1,4,2,374
1,4,1,375
1,4,2,376
1,4,1,377
1,4,2,378
1,4,2,379
1,4,1,380
1,4,1,381
0,4,1,382
0,4,1,383
1,4,1,384
1,4,2,385
0,4,1,386
1,1,2,387
0,1,1,388
1,1,1,389
0,1,1,390
1,1,1,391
1,1,2,392
1,1,2,393
1,1,2,394
1,1,2,395
1,1,1,396
1,1,2,397
1,1,2,398
1,1,2,399
1,1,2,400
1,1,1,401
1,1,2,402
1,1,2,403
1,1,2,404
1,1,1,405
1,1,2,406
1,1,2,407
1,1,1,408
1,1,2,409
1,1,2,410
1,1,1,411
1,1,1,412
1,1,2,413
1,1,1,414
1,1,1,415
1,1,1,416
1,1,2,417
1,1,2,418
1,1,1,419
1,1,1,420
1,1,2,421
1,1,1,422
1,1,1,423
1,1,2,424
1,1,2,425
1,1,2,426
1,1,2,427
1,1,1,428
1,1,2,429
0,2,2,430
1,2,2,431
0,2,2,432
1,2,2,433
1,2,1,434
1,2,1,435
1,2,1,436
0,2,2,437
1,2,2,438
1,2,1,439
1,2,2,440
1,2,1,441
1,2,2,442
1,2,2,443
1,2,2,444
1,2,1,445
1,2,1,446
1,2,2,447
1,2,1,448
1,2,2,449
1,3,2,450
1,3,2,451
0,3,1,452
0,3,1,453
0,3,1,454
1,3,1,455
1,3,2,456
1,3,1,457
0,3,2,458
1,3,2,459
1,3,2,460
1,3,2,461
1,3,1,462
1,3,2,463
1,3,1,464
0,3,2,465
1,3,2,466
1,3,2,467
0,3,1,468
1,3,1,469
1,3,1,470
1,3,1,471
1,3,2,472
1,3,1,473
1,3,1,474
0,3,2,475
1,3,2,476
1,3,1,477
0,4,1,478
1,4,1,479
1,4,1,480
0,4,2,481
1,4,2,482
1,4,1,483
0,4,1,484
1,4,1,485
1,4,1,486
0,4,2,487
1,4,2,488
1,4,1,489
0,4,1,490
1,4,1,491
1,4,1,492
0,4,2,493
1,4,2,494
0,4,2,495
1,4,2,496
1,4,2,497
1,4,2,498
1,4,1,499
1,4,2,500
1,4,2,501
1,4,1,502
1,4,2,503
1,4,1,504
0,4,2,505
1,4,2,506
1,4,1,507
1,4,2,508
1,4,2,509
0,4,1,510
1,1,1,511
1,1,1,512
0,1,2,513
1,1,2,514
1,1,1,515
1,1,1,516
1,1,1,517
1,1,2,518
0,1,2,519
1,1,2,520
1,1,1,521
1,1,1,522
0,1,2,523
1,1,2,524
1,1,1,525
1,1,1,526
1,1,2,527
1,1,2,528
1,1,2,529
1,1,2,530
1,1,1,531
1,1,2,532
0,2,2,533
0,2,2,534
1,2,2,535
1,2,2,536
