Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber
1,1,2,1,0,allo_block1
0,1,1,2,0,
0,1,1,3,0,
1,1,1,4,0,
0,1,1,5,0,
1,1,1,6,0,
0,1,2,7,0,
1,1,2,8,0,
1,1,2,9,0,
1,1,1,10,0,
0,1,1,11,0,
1,1,1,12,0,
1,1,1,13,0,
1,1,2,14,0,
1,1,1,15,0,
1,1,2,16,0,
1,1,2,17,0,
1,1,2,18,0,
1,1,2,19,0,
1,1,2,20,0,
0,3,2,21,1,ego_block1
0,3,2,22,0,
0,3,2,23,0,
0,3,2,24,0,
0,3,2,25,0,
1,3,2,26,0,
1,3,2,27,0,
1,3,1,28,0,
1,3,1,29,0,
1,3,1,30,0,
1,3,2,31,0,
0,3,2,32,0,
1,3,2,33,0,
0,3,2,34,0,
1,3,2,35,0,
1,3,1,36,0,
1,3,2,37,0,
0,3,1,38,0,
1,3,1,39,0,
0,3,1,40,0,
1,3,1,41,0,
0,3,2,42,0,
1,3,2,43,0,
1,3,2,44,0,
0,3,1,45,0,
1,3,1,46,0,
1,3,2,47,0,
1,3,2,48,0,
1,3,1,49,0,
0,3,1,50,0,
1,3,1,51,0,
0,3,1,52,0,
1,3,1,53,0,
1,3,2,54,0,
1,3,1,55,0,
1,3,2,56,0,
0,3,2,57,0,
1,3,2,58,0,
0,3,2,59,0,
1,3,2,60,0,
1,3,1,61,0,
1,3,1,62,0,
1,3,2,63,0,
1,3,2,64,0,
0,3,2,65,0,
1,3,2,66,0,
1,3,2,67,0,
0,3,1,68,0,
1,3,1,69,0,
1,3,1,70,0,
1,3,2,71,0,
1,3,1,72,0,
0,3,1,73,0,
1,3,1,74,0,
1,3,2,75,0,
1,3,1,76,0,
1,3,2,77,0,
0,3,1,78,0,
1,3,1,79,0,
0,3,2,80,0,
1,3,2,81,0,
1,3,1,82,0,
1,3,2,83,0,
0,3,2,84,0,
1,3,2,85,0,
1,3,1,86,0,
0,3,1,87,0,
1,3,1,88,0,
1,3,1,89,0,
1,3,2,90,0,
1,3,2,91,0,
1,3,1,92,0,
0,3,2,93,0,
1,3,2,94,0,
1,3,1,95,0,
1,3,2,96,0,
0,3,2,97,0,
1,3,2,98,0,
1,3,1,99,0,
0,3,1,100,0,
1,3,1,101,0,
0,1,1,102,1,allo_block2
1,1,1,103,0,
1,1,1,104,0,
1,1,2,105,0,
0,1,2,106,0,
