Correct,Strategy,Start zone,Trial
0,3,2,1
1,3,2,2
0,3,1,3
1,3,1,4
1,3,2,5
1,3,1,6
1,3,2,7
1,3,2,8
1,3,2,9
0,3,2,10
1,3,2,11
0,3,2,12
1,3,2,13
1,3,1,14
1,3,2,15
1,3,2,16
0,3,2,17
1,3,2,18
1,3,2,19
0,3,2,20
1,3,2,21
1,3,1,22
1,3,2,23
0,3,1,24
0,3,1,25
1,3,1,26
1,3,2,27
1,3,2,28
1,3,2,29
1,3,1,30
0,3,1,31
1,3,1,32
1,3,1,33
0,3,2,34
1,3,2,35
1,3,2,36
1,3,1,37
0,3,1,38
1,3,1,39
1,3,1,40
1,3,2,41
0,3,1,42
1,3,1,43
1,3,2,44
1,3,1,45
1,3,2,46
1,3,1,47
1,3,2,48
0,3,2,49
1,3,2,50
0,3,1,51
1,3,1,52
0,3,1,53
1,3,1,54
1,3,2,55
1,3,1,56
1,3,1,57
1,3,2,58
1,3,2,59
1,3,2,60
1,3,2,61
1,3,1,62
1,3,1,63
0,3,1,64
1,3,1,65
1,3,2,66
0,1,2,67
0,1,2,68
0,1,2,69
0,1,2,70
1,1,2,71
1,1,1,72
0,1,2,73
0,1,2,74
1,1,2,75
1,1,2,76
0,1,2,77
1,1,2,78
0,1,2,79
1,1,2,80
1,1,1,81
1,1,2,82
1,1,1,83
1,1,2,84
1,1,1,85
1,1,2,86
1,1,1,87
1,1,1,88
1,1,2,89
0,3,2,90
1,3,2,91
0,3,1,92
1,3,1,93
1,3,2,94
1,3,1,95
1,3,2,96
1,3,2,97
1,3,2,98
0,3,2,99
1,3,2,100
0,3,2,101
1,3,2,102
1,3,1,103
1,3,2,104
1,3,2,105
0,3,2,106
1,3,2,107
1,3,2,108
0,3,2,109
1,3,2,110
1,3,1,111
1,3,2,112
0,3,1,113
0,3,1,114
1,3,1,115
1,3,2,116
1,3,2,117
1,3,2,118
1,3,1,119
0,3,1,120
1,3,1,121
1,3,1,122
0,3,2,123
1,3,2,124
1,3,2,125
1,3,1,126
0,3,1,127
1,3,1,128
1,3,1,129
1,3,2,130
0,3,1,131
1,3,1,132
1,3,2,133
1,3,1,134
1,3,2,135
1,3,1,136
1,3,2,137
0,3,2,138
1,3,2,139
0,3,1,140
1,3,1,141
0,3,1,142
1,3,1,143
1,3,2,144
1,3,1,145
1,3,1,146
1,3,2,147
1,3,2,148
1,3,2,149
1,3,2,150
1,3,1,151
1,3,1,152
0,3,1,153
1,3,1,154
1,3,2,155
0,1,2,156
0,1,2,157
0,1,2,158
0,1,2,159
1,1,2,160
1,1,1,161
0,1,2,162
0,1,2,163
1,1,2,164
1,1,2,165
0,1,2,166
1,1,2,167
0,1,2,168
1,1,2,169
1,1,1,170
1,1,2,171
1,1,1,172
1,1,2,173
1,1,1,174
1,1,2,175
1,1,1,176
1,1,1,177
1,1,2,178
0,4,1,179
1,4,1,180
0,4,2,181
1,4,2,182
1,4,1,183
1,4,2,184
0,4,1,185
1,4,1,186
0,4,2,187
0,4,2,188
0,4,2,189
1,4,2,190
0,4,1,191
1,4,1,192
0,4,1,193
1,4,1,194
0,4,2,195
1,4,2,196
0,4,2,197
1,4,2,198
0,4,1,199
1,4,1,200
1,4,2,201
0,4,2,202
0,4,2,203
0,4,2,204
1,4,2,205
0,4,1,206
1,4,1,207
1,4,2,208
1,4,2,209
0,4,2,210
1,4,2,211
1,4,2,212
1,4,1,213
0,4,1,214
0,4,1,215
0,4,1,216
1,4,1,217
0,4,1,218
0,4,1,219
1,4,1,220
0,4,2,221
1,4,2,222
1,4,2,223
0,4,1,224
1,4,1,225
1,4,1,226
1,4,2,227
1,4,1,228
1,4,1,229
0,4,1,230
1,4,1,231
1,4,2,232
0,4,2,233
1,4,2,234
1,4,1,235
0,4,1,236
0,4,1,237
1,4,1,238
0,4,2,239
1,4,2,240
1,4,1,241
0,4,2,242
1,4,2,243
1,4,1,244
1,4,2,245
1,4,1,246
0,4,1,247
1,4,1,248
1,4,2,249
0,4,2,250
1,4,2,251
1,4,1,252
1,4,1,253
0,4,1,254
1,4,1,255
1,4,2,256
0,4,2,257
0,4,2,258
1,4,2,259
0,4,1,260
0,4,1,261
1,4,1,262
1,4,2,263
1,4,2,264
1,4,1,265
1,4,2,266
0,4,2,267
1,4,2,268
1,4,2,269
0,4,2,270
1,4,2,271
0,4,1,272
1,4,1,273
0,4,1,274
1,4,1,275
1,4,2,276
0,4,2,277
1,4,2,278
1,4,2,279
0,4,1,280
1,4,1,281
1,4,2,282
1,4,2,283
1,4,2,284
0,4,1,285
1,4,1,286
1,4,2,287
1,4,1,288
1,4,2,289
1,4,2,290
1,4,2,291
0,4,1,292
1,4,1,293
1,4,2,294
1,4,1,295
0,2,1,296
1,2,1,297
0,2,1,298
1,2,1,299
0,2,2,300
0,2,2,301
1,2,2,302
0,2,1,303
1,2,1,304
0,2,2,305
1,2,2,306
1,2,1,307
1,2,1,308
0,2,2,309
1,2,2,310
0,2,2,311
1,2,2,312
1,2,2,313
0,2,2,314
1,2,2,315
1,2,1,316
1,2,1,317
0,2,1,318
1,2,1,319
1,2,2,320
1,2,1,321
1,2,2,322
1,2,2,323
1,2,1,324
1,2,1,325
1,2,1,326
0,4,1,327
1,4,1,328
0,4,2,329
1,4,2,330
1,4,1,331
1,4,2,332
0,4,1,333
1,4,1,334
0,4,2,335
0,4,2,336
0,4,2,337
1,4,2,338
0,4,1,339
1,4,1,340
0,4,1,341
1,4,1,342
0,4,2,343
1,4,2,344
0,4,2,345
1,4,2,346
0,4,1,347
1,4,1,348
1,4,2,349
0,4,2,350
0,4,2,351
0,4,2,352
1,4,2,353
0,4,1,354
1,4,1,355
1,4,2,356
1,4,2,357
0,4,2,358
1,4,2,359
1,4,2,360
1,4,1,361
0,4,1,362
0,4,1,363
0,4,1,364
1,4,1,365
0,4,1,366
0,4,1,367
1,4,1,368
0,4,2,369
1,4,2,370
1,4,2,371
0,4,1,372
1,4,1,373
1,4,1,374
1,4,2,375
1,4,1,376
1,4,1,377
0,4,1,378
1,4,1,379
1,4,2,380
0,4,2,381
1,4,2,382
1,4,1,383
0,4,1,384
0,4,1,385
1,4,1,386
0,4,2,387
1,4,2,388
1,4,1,389
0,4,2,390
1,4,2,391
1,4,1,392
1,4,2,393
1,4,1,394
0,4,1,395
1,4,1,396
1,4,2,397
0,4,2,398
1,4,2,399
1,4,1,400
1,4,1,401
0,4,1,402
1,4,1,403
1,4,2,404
0,4,2,405
0,4,2,406
1,4,2,407
0,4,1,408
0,4,1,409
1,4,1,410
1,4,2,411
1,4,2,412
1,4,1,413
1,4,2,414
0,4,2,415
1,4,2,416
1,4,2,417
0,4,2,418
1,4,2,419
0,4,1,420
1,4,1,421
0,4,1,422
1,4,1,423
1,4,2,424
0,4,2,425
1,4,2,426
1,4,2,427
0,4,1,428
1,4,1,429
1,4,2,430
1,4,2,431
1,4,2,432
0,4,1,433
1,4,1,434
1,4,2,435
1,4,1,436
1,4,2,437
1,4,2,438
1,4,2,439
0,4,1,440
1,4,1,441
1,4,2,442
1,4,1,443
0,2,1,444
1,2,1,445
0,2,1,446
1,2,1,447
0,2,2,448
0,2,2,449
1,2,2,450
0,2,1,451
1,2,1,452
0,2,2,453
1,2,2,454
1,2,1,455
1,2,1,456
0,2,2,457
1,2,2,458
0,2,2,459
1,2,2,460
1,2,2,461
0,2,2,462
1,2,2,463
1,2,1,464
1,2,1,465
0,2,1,466
1,2,1,467
1,2,2,468
1,2,1,469
1,2,2,470
1,2,2,471
1,2,1,472
1,2,1,473
1,2,1,474
0,3,1,475
1,3,1,476
1,3,1,477
0,3,1,478
1,3,1,479
1,3,2,480
1,3,1,481
1,3,2,482
0,3,2,483
0,3,2,484
0,3,2,485
1,3,2,486
1,3,1,487
0,3,1,488
1,3,1,489
0,3,2,490
1,3,2,491
0,3,2,492
1,3,2,493
0,3,2,494
0,3,2,495
1,3,2,496
0,3,1,497
1,3,1,498
0,3,1,499
1,3,1,500
0,3,2,501
0,3,2,502
1,3,2,503
1,3,1,504
1,3,2,505
0,3,2,506
0,3,2,507
1,3,2,508
0,3,2,509
1,3,2,510
1,3,1,511
0,3,1,512
0,3,1,513
1,3,1,514
1,3,2,515
0,3,2,516
0,3,2,517
1,3,2,518
1,3,1,519
1,3,1,520
1,3,2,521
1,3,1,522
0,3,2,523
1,3,2,524
0,3,2,525
0,3,2,526
1,3,2,527
0,3,2,528
0,3,2,529
1,3,2,530
0,3,1,531
1,3,1,532
0,3,2,533
1,3,2,534
