Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch
0,3,2,1,0,ego_block1,
1,3,2,2,0,,
0,3,1,3,0,,
1,3,1,4,0,,
1,3,2,5,0,,
1,3,1,6,0,,
1,3,2,7,0,,
1,3,2,8,0,,
1,3,2,9,0,,
0,3,2,10,0,,
1,3,2,11,0,,
0,3,2,12,0,,
1,3,2,13,0,,
1,3,1,14,0,,
1,3,2,15,0,,
1,3,2,16,0,,
0,3,2,17,0,,
1,3,2,18,0,,
1,3,2,19,0,,
0,3,2,20,0,,
1,3,2,21,0,,
1,3,1,22,0,,
1,3,2,23,0,,
0,3,1,24,0,,
0,3,1,25,0,,
1,3,1,26,0,,
1,3,2,27,0,,
1,3,2,28,0,,
1,3,2,29,0,,
1,3,1,30,0,,
0,3,1,31,0,,
1,3,1,32,0,,
1,3,1,33,0,,
0,3,2,34,0,,
1,3,2,35,0,,
1,3,2,36,0,,
1,3,1,37,0,,
0,3,1,38,0,,
1,3,1,39,0,,
1,3,1,40,0,,
1,3,2,41,0,,
0,3,1,42,0,,
1,3,1,43,0,,
1,3,2,44,0,,
1,3,1,45,0,,
1,3,2,46,0,,
1,3,1,47,0,,
1,3,2,48,0,,
0,3,2,49,0,,
1,3,2,50,0,,
0,3,1,51,0,,
1,3,1,52,0,,
0,3,1,53,0,,
1,3,1,54,0,,
1,3,2,55,0,,
1,3,1,56,0,,
1,3,1,57,0,,
1,3,2,58,0,,
1,3,2,59,0,,
1,3,2,60,0,,
1,3,2,61,0,,
1,3,1,62,0,,
1,3,1,63,0,,
0,3,1,64,0,,
1,3,1,65,0,,
1,3,2,66,0,,
0,1,2,67,1,allo_block1,
0,1,2,68,0,,
0,1,2,69,0,,
0,1,2,70,0,,
1,1,2,71,0,,
1,1,1,72,0,,
0,1,2,73,0,,
0,1,2,74,0,,
1,1,2,75,0,,
1,1,2,76,0,,
0,1,2,77,0,,
1,1,2,78,0,,
0,1,2,79,0,,
1,1,2,80,0,,
1,1,1,81,0,,
1,1,2,82,0,,
1,1,1,83,0,,
1,1,2,84,0,,
1,1,1,85,0,,
1,1,2,86,0,,
1,1,1,87,0,,
1,1,1,88,0,,
1,1,2,89,0,,
0,3,2,90,1,ego_block2,
1,3,2,91,0,,
0,3,1,92,0,,
1,3,1,93,0,,
1,3,2,94,0,,
1,3,1,95,0,,
1,3,2,96,0,,
1,3,2,97,0,,
1,3,2,98,0,,
0,3,2,99,0,,
1,3,2,100,0,,
0,3,2,101,0,,
1,3,2,102,0,,
1,3,1,103,0,,
1,3,2,104,0,,
1,3,2,105,0,,
0,3,2,106,0,,
1,3,2,107,0,,
1,3,2,108,0,,
0,3,2,109,0,,
1,3,2,110,0,,
1,3,1,111,0,,
1,3,2,112,0,,
0,3,1,113,0,,
