Correct,Strategy,Start zone,Trial
1,3,1,1
0,3,1,2
1,3,1,3
0,3,2,4
0,3,2,5
1,3,2,6
0,3,1,7
1,3,1,8
0,3,1,9
1,3,1,10
1,3,1,11
1,3,2,12
0,3,2,13
1,3,2,14
0,3,1,15
1,3,1,16
1,3,1,17
1,3,2,18
0,3,1,19
1,3,1,20
1,3,1,21
1,3,2,22
0,3,2,23
0,3,2,24
1,3,2,25
1,3,2,26
1,3,2,27
0,3,1,28
1,3,1,29
0,3,2,30
1,3,2,31
1,3,2,32
0,3,2,33
1,3,2,34
1,3,1,35
1,3,1,36
0,3,1,37
1,3,1,38
1,3,2,39
1,3,1,40
1,3,2,41
1,3,1,42
1,3,2,43
0,3,2,44
1,3,2,45
1,3,2,46
1,3,1,47
1,3,1,48
0,1,2,50
1,1,2,51
1,1,1,52
0,1,2,53
0,1,2,54
1,1,2,55
0,1,2,56
1,1,2,57
0,1,2,58
1,1,2,59
1,1,1,60
1,1,2,61
1,1,1,62
0,1,2,63
1,1,2,64
0,1,2,65
1,1,2,66
0,1,2,67
1,1,2,68
1,1,1,69
1,1,2,70
1,1,1,71
0,1,2,72
1,1,2,73
1,1,2,74
1,1,1,75
1,1,1,76
1,1,1,77
1,1,2,78
1,1,1,79
1,1,1,80
0,2,2,81
1,2,2,82
0,2,1,83
0,2,1,84
1,2,1,85
0,2,1,86
0,2,1,87
0,2,1,88
1,2,1,89
1,2,1,90
0,2,2,91
0,2,2,92
1,2,2,93
0,2,1,94
1,2,1,95
1,2,1,96
1,2,1,97
0,2,2,98
1,2,2,99
1,2,1,100
1,2,1,101
1,2,1,102
1,2,2,103
0,2,2,104
1,2,2,105
1,2,2,106
1,2,2,107
1,2,1,108
1,2,2,109
0,4,2,111
0,4,2,112
1,4,2,113
0,4,1,114
1,4,1,115
1,4,2,116
1,4,1,117
0,4,2,118
0,4,2,119
1,4,2,120
0,4,1,121
1,4,1,122
1,4,2,123
1,4,2,124
1,4,1,125
0,4,1,126
1,4,1,127
1,4,1,128
0,4,2,129
1,4,2,130
0,4,1,131
1,4,1,132
1,4,2,133
0,4,1,134
1,4,1,135
1,4,1,136
1,4,2,137
0,4,2,138
1,4,2,139
0,4,2,140
1,4,2,141
1,4,2,142
0,4,1,143
1,4,1,144
1,4,2,145
1,4,2,146
1,4,2,147
1,4,2,148
1,4,1,149
1,4,2,150
1,4,2,151
1,4,2,152
1,4,1,153
0,3,2,154
1,3,2,155
0,3,2,156
1,3,2,157
1,3,1,158
0,3,2,159
1,3,2,160
0,3,2,161
1,3,2,162
0,3,2,163
1,3,2,164
0,3,1,165
0,3,1,166
1,3,1,167
0,3,1,168
1,3,1,169
0,3,2,170
1,3,2,171
0,3,1,172
0,3,1,173
1,3,1,174
1,3,2,175
1,3,1,176
0,3,2,177
1,3,2,178
0,3,1,179
1,3,1,180
0,3,2,181
1,3,2,182
1,3,1,183
1,3,1,184
0,3,1,185
1,3,1,186
0,3,2,187
1,3,2,188
0,3,2,189
1,3,2,190
1,3,1,191
1,3,1,192
0,3,2,193
1,3,2,194
0,3,2,195
1,3,2,196
1,3,1,197
1,3,2,198
1,3,1,199
0,3,1,200
1,3,1,201
1,3,2,202
1,3,1,203
1,3,1,204
1,3,1,205
0,3,2,206
1,3,2,207
1,3,1,208
1,3,1,209
1,3,2,210
1,1,2,212
1,1,1,213
0,1,2,214
1,1,2,215
0,1,2,216
1,1,2,217
1,1,1,218
1,1,2,219
1,1,1,220
1,1,2,221
1,1,2,222
0,1,2,223
1,1,2,224
0,1,2,225
1,1,2,226
1,1,1,227
0,1,1,228
1,1,1,229
1,1,2,230
1,1,2,231
1,1,2,232
0,1,2,233
1,1,2,234
1,1,2,235
1,1,2,236
1,1,1,237
1,1,1,238
1,1,1,239
1,1,2,240
0,2,1,241
0,2,1,242
1,2,1,243
0,2,2,244
1,2,2,245
0,2,2,246
0,2,2,247
1,2,2,248
1,2,1,249
0,2,1,250
1,2,1,251
0,2,2,252
1,2,2,253
1,2,2,254
0,2,2,255
1,2,2,256
1,2,2,257
0,2,1,258
1,2,1,259
1,2,1,260
0,2,1,261
1,2,1,262
1,2,2,263
0,2,1,264
1,2,1,265
1,2,2,266
0,2,2,267
1,2,2,268
