Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch,
1,3,1,1,0,ego_block1,,
0,3,1,2,0,,,
1,3,1,3,0,,,
0,3,2,4,0,,,
0,3,2,5,0,,,
1,3,2,6,0,,,
0,3,1,7,0,,,
1,3,1,8,0,,,
0,3,1,9,0,,,
1,3,1,10,0,,,
1,3,1,11,0,,,
1,3,2,12,0,,,
0,3,2,13,0,,,
1,3,2,14,0,,,
0,3,1,15,0,,,
1,3,1,16,0,,,
1,3,1,17,0,,,
1,3,2,18,0,,,
0,3,1,19,0,,,
1,3,1,20,0,,,
1,3,1,21,0,,,
1,3,2,22,0,,,
0,3,2,23,0,,,
0,3,2,24,0,,,
1,3,2,25,0,,,
1,3,2,26,0,,,
1,3,2,27,0,,,
0,3,1,28,0,,,
1,3,1,29,0,,,
0,3,2,30,0,,,
1,3,2,31,0,,,
1,3,2,32,0,,,
0,3,2,33,0,,,
1,3,2,34,0,,,
1,3,1,35,0,,,
1,3,1,36,0,,,
0,3,1,37,0,,,
1,3,1,38,0,,,
1,3,2,39,0,,,
1,3,1,40,0,,,
1,3,2,41,0,,,
1,3,1,42,0,,,
1,3,2,43,0,,,
0,3,2,44,0,,,
1,3,2,45,0,,,
1,3,2,46,0,,,
1,3,1,47,0,,,
1,3,1,48,0,,,
0,1,2,50,1,allo_block1,,
1,1,2,51,0,,,
1,1,1,52,0,,,
0,1,2,53,0,,,
0,1,2,54,0,,,
1,1,2,55,0,,,
0,1,2,56,0,,,
1,1,2,57,0,,,
0,1,2,58,0,,,
1,1,2,59,0,,,
1,1,1,60,0,,,
1,1,2,61,0,,,
1,1,1,62,0,,,
0,1,2,63,0,,,
1,1,2,64,0,,,
0,1,2,65,0,,,
1,1,2,66,0,,,
0,1,2,67,0,,,
1,1,2,68,0,,,
1,1,1,69,0,,,
1,1,2,70,0,,,
1,1,1,71,0,,,
0,1,2,72,0,,,
1,1,2,73,0,,,
1,1,2,74,0,,,
1,1,1,75,0,,,
1,1,1,76,0,,,
1,1,1,77,0,,,
1,1,2,78,0,,,
1,1,1,79,0,,,
1,1,1,80,0,,,
0,2,2,81,1,,12,allo_block2
1,2,2,82,0,,,
0,2,1,83,0,,,
0,2,1,84,0,,,
1,2,1,85,0,,,
0,2,1,86,0,,,
0,2,1,87,0,,,
0,2,1,88,0,,,
1,2,1,89,0,,,
1,2,1,90,0,,,
0,2,2,91,0,,,
0,2,2,92,0,,,
1,2,2,93,0,,,
0,2,1,94,0,,,
1,2,1,95,0,,,
1,2,1,96,0,,,
1,2,1,97,0,,,
0,2,2,98,0,,,
1,2,2,99,0,,,
1,2,1,100,0,,,
1,2,1,101,0,,,
1,2,1,102,0,,,
1,2,2,103,0,,,
