Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch
0,3,2,1,0,ego_block1,
1,3,2,2,0,,
0,3,1,3,0,,
0,3,1,4,0,,
1,3,1,5,0,,
0,3,2,6,0,,
0,3,2,7,0,,
0,3,2,8,0,,
0,3,2,9,0,,
1,3,2,10,0,,
0,3,2,11,0,,
0,3,2,12,0,,
0,3,2,13,0,,
0,3,2,14,0,,
1,3,2,15,0,,
1,3,2,16,0,,
0,3,1,17,0,,
1,3,1,18,0,,
0,3,2,19,0,,
1,3,2,20,0,,
0,3,2,21,0,,
1,3,2,22,0,,
1,3,1,23,0,,
0,3,2,24,0,,
0,3,2,25,0,,
0,3,2,26,0,,
1,3,2,27,0,,
0,3,2,28,0,,
0,3,2,29,0,,
0,3,2,30,0,,
1,3,2,31,0,,
1,3,1,32,0,,
0,3,1,33,0,,
0,3,1,34,0,,
1,3,1,35,0,,
1,3,1,36,0,,
1,3,2,37,0,,
1,3,1,38,0,,
1,3,2,39,0,,
1,3,1,40,0,,
0,3,2,41,0,,
1,3,2,42,0,,
0,3,2,43,0,,
1,3,2,44,0,,
0,3,2,45,0,,
1,3,2,46,0,,
1,3,1,47,0,,
0,3,2,48,0,,
1,3,2,49,0,,
1,3,1,50,0,,
0,3,1,51,0,,
0,3,1,52,0,,
1,3,1,53,0,,
0,3,2,54,0,,
0,3,2,55,0,,
1,3,2,56,0,,
0,3,2,57,0,,
1,3,2,58,0,,
1,3,1,59,0,,
0,3,1,60,0,,
0,3,1,61,0,,
1,3,1,62,0,,
0,3,1,63,0,,
1,3,1,64,0,,
1,3,2,65,0,,
0,3,2,66,0,,
0,3,2,67,0,,
0,3,2,68,0,,
0,3,2,69,0,,
1,3,2,70,0,,
1,3,1,71,0,,
1,3,2,72,0,,
0,3,2,73,0,,
1,3,2,74,0,,
0,3,2,75,0,,
1,3,2,76,0,,
0,3,1,77,0,,
1,3,1,78,0,,
0,3,2,79,0,,
1,3,2,80,0,,
0,3,2,81,0,,
1,3,2,82,0,,
0,3,1,83,0,,
0,3,1,84,0,,
1,3,1,85,0,,
0,3,1,86,0,,
1,3,1,87,0,,
1,3,1,88,0,,
1,3,2,89,0,,
0,3,1,90,0,,
1,3,1,91,0,,
1,3,1,92,0,,
1,3,2,93,0,,
0,3,2,94,0,,
0,3,2,95,0,,
1,3,2,96,0,,
1,3,1,97,0,,
1,3,2,98,0,,
1,3,1,99,0,,
1,3,1,100,0,,
0,3,1,101,0,,
1,3,1,102,0,,
1,3,2,103,0,,
1,3,1,104,0,,
1,3,1,105,0,,
1,3,1,106,0,,
1,3,2,107,0,,
1,3,2,108,0,,
1,3,1,109,0,,
1,1,2,110,1,allo_block1,
1,1,1,111,0,,
0,1,2,112,0,,
1,1,2,113,0,,
